X,Y,OBJECTID,ID,NAME,ADDRESS,ARCH_TYPE,CONST_DATE,PHOTOS,SDE_PHOTOS,NUM_ON_REGISTER,DESIGNATION_DATE
-92.014214725754513,30.226639786045777,59,1057,LAFAYETTE TRAIN DEPOT,100 LEE AVE,EARLY 20TH CENTURY MOVEMENT,1911,LAFAYETTE_TRAIN_DEPOT,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/057-LafayetteRailroadDepot.jpg,57,2003-04-07T00:00:00.000Z
-92.018094528599548,30.225729901161014,60,1059,MAURICE HEYMANN BUILDING,433 JEFFERSON ST,ITALIAN RENAISSANCE REVIVAL,1925,MAURICE_HEYMANN_BUILDING,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/059-MauriceHeymannBldg.jpg,59,2003-05-15T00:00:00.000Z
-92.017094143790985,30.224260602618923,61,1058,SANS SOUCI,219 E VERMILION ST,COMMERCIAL VERNACULAR,CIRCA 1840,SANS_SOUCI,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/058-SansSouci.jpg,58,2003-03-20T00:00:00.000Z
-92.089221622527802,30.283610601188641,62,1053,CIRCA 1900 HOUSE,1300 DUGAS RD,QUEEN ANNE REVIVAL,CIRCA 1900,circa_1900,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/053-Circa1901House.jpg,53,2002-02-21T00:00:00.000Z
-92.021393516739408,30.20470406318837,377,1054,DENBO-MONTGOMERY HOUSE,106 VERLANDER CIR,AMERICAN BUNGALOW,1898,denbo_montgomery_house,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/054-Denbo-MontgomeryHouse.jpg,54,2002-07-11T00:00:00.000Z
-91.99512270364626,30.215098681984117,1977,1061,LOUIS ARCENEAUX HOUSE,300 FISHER RD,FRENCH CREOLE,CIRCA 1840,Louis Arceneaux House,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/061-LouisArceneauxHouse.jpg,61,2005-02-17T00:00:00.000Z
-91.993597720882804,30.216121240208818,1979,1060,ARMAND BROUSSARD HOUSE,300 FISHER RD,FRENCH CREOLE,CIRCA 1790,Armand Broussard House,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/060-ArmandBroussardHouse.jpg,60,2005-02-17T00:00:00.000Z
-91.994350245571496,30.215082397343092,2297,1063,JOSEPH BULLER HOUSE,300 FISHER RD,FRENCH CREOLE,CIRCA 1807,,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/063-JosephBullerHouse.jpg,63,2005-06-16T00:00:00.000Z
-91.99419445185373,30.215680595799284,2298,1062,JOSEPH FIRNBERG HOUSE,300 FISHER RD,FRENCH CREOLE,CIRCA 1860,,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/062-JosephFirnbergHouse.jpg,62,2005-06-16T00:00:00.000Z
-91.994113194027932,30.215427102995658,2937,1064,LAGRANGE FAMILY HOUSE,300 FISHER RD,FRENCH CREOLE,CIRCA 1830,,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/064-LaGrangeFamilyHouse.jpg,64,2005-09-15T00:00:00.000Z
-92.047317492448684,30.20400866867217,2938,1065,JUDICE INN,3134 JOHNSTON ST,COMMERCIAL VERNACULAR,1947,,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/065-JudiceInn.jpg,65,2005-09-15T00:00:00.000Z
-92.023506694003899,30.221931939433553,2939,1066,OSCAR DAIGLE HOUSE,512 W CONVENT ST,QUEEN ANNE REVIVAL,CIRCA 1910,,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/066-OscarDaigleHouse.jpg,66,2005-09-15T00:00:00.000Z
-92.026295670900581,30.268661768596584,2940,1067,COURET HOUSE,2763 NW EVANGELINE THWY,FRENCH CREOLE,1836,,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/067-CouretHouse.jpg,67,2005-09-15T00:00:00.000Z
-92.008783462696428,30.229911189972146,2941,1068,PRUDHOMME-BEGNAUD HOUSE,708 JEFFERSON BLVD,COLONIAL REVIVAL,CIRCA 1906,,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/068-Prudhomme-BegnaudHouse.jpg,68,2005-09-15T00:00:00.000Z
