X,Y,OBJECTID,ID,NAME,ADDRESS,ARCH_TYPE,CONST_DATE,PHOTOS,SDE_PHOTOS,NUM_ON_REGISTER,DESIGNATION_DATE
-92.140657111800863,30.167348865230224,15278,1091,JUDICE MIDDLE SCHOOL,2645 S FIELDSPAN RD,JACOBEAN REVIVAL,1929,,,91,2013-03-21T00:00:00.000Z
-91.994490915738609,30.215523283379749,15279,1089,MAISON ACADIENNE,300 FISHER RD,FRENCH CREOLE,CIRCA 1850,,,89,2013-02-21T00:00:00.000Z
-92.022113183715632,30.222362736688012,15280,1095,MAISON REVILLON,1012 S WASHINGTON ST,GREEK REVIVAL,CIRCA 1880,,,95,2013-09-19T00:00:00.000Z
-92.016867791787604,30.227163341041564,15281,1096,EVANGELINE HOTEL,302 JEFFERSON ST,ITALIAN RENAISSANCE REVIVAL,1928,,,96,2013-09-19T00:00:00.000Z
-92.022949367283957,30.219010611169324,15600,96,MAURICE POLLINGUE HOUSE,126 DUNREATH ST,AMERICAN BUNGALOW,CIRCA 1910,,,99,2014-06-19T00:00:00.000Z
-92.023410054570562,30.217845354547109,15601,97,GEORGE BERNARD HOUSE,221 DUNREATH ST,AMERICAN BUNGALOW,CIRCA 1919,,,100,2014-06-19T00:00:00.000Z
-92.024569835069244,30.217372206663644,15602,98,LOUISE & MILDRED MANN HOUSE,314 DUNREATH ST,ENGLISH COTTAGE REVIVAL,1937,,,101,2014-06-19T00:00:00.000Z
-92.02271785063985,30.233410217792382,15603,99,SAINT PAUL CONVENT,518 HOPKINS ST,AMERICAN FOURSQUARE,1950,,,97,2014-05-15T00:00:00.000Z
-92.015302821523576,30.219678137795725,15604,100,GOOD HOPE CHAPEL,301 E CONVENT ST,GOTHIC REVIVAL,1950,,,98,2014-05-15T00:00:00.000Z
-92.017101310839948,30.229238935287576,15920,1102,LAFAYETTE WHOLESALE GROCERY WAREHOUSE,333 MONROE ST,COMMERCIAL VERNACULAR,CIRCA 1926,,,102,2015-02-19T00:00:00.000Z
